id	event	name	photo	organization	position	sessions
rp14-speaker-1004	rp14	Matthias Spielkamp	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/120330-03538.jpg	Reporters without Borders	Member of the Board	
rp14-speaker-1005	rp14	Thom Nagy	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/thomnagy_pensive.jpg	NZZ Lab	Projektleiter	
rp14-speaker-1006	rp14	Hendrik Menzl	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/h_menzl_re_publica.jpg	Audiolith		
rp14-speaker-1008	rp14	Paul von Ribbeck	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/001_web.jpg	Google Nest	Digital Security Evangelist	
rp14-speaker-1010	rp14	Jon Phillips	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/jp_3.jpg	Fabricatorz	Founder, CEO	
rp14-speaker-1011	rp14	Sebastian Horn	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/sebastian_quer.jpg	Sourcefabric	Head of Business Development	
rp14-speaker-1022	rp14	Stephanie Wißmann	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/_mg_0793.jpg			
rp14-speaker-1023	rp14	Jan Northoff	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/jannorhoff_profile_2_square.jpg	3D Druck Shop Berlin	Founder & 3D Printer Operator & Scrum Master	
rp14-speaker-1025	rp14	Karen Melchior	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/profil_photo_-_c_amanda_thomsen.jpg	Radikale Venstre	European-Parliament candidate	
rp14-speaker-1028	rp14	Florian Krapp	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/profilbild_0.jpg	Oh Krapp	Student, (Game) Designer	
rp14-speaker-1029	rp14	Michael Zöller	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/mz.jpg	Magic Lantern Team		
rp14-speaker-1032	rp14	Rin Räuber	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/rin-1.jpg	Mars Evangelist and Coder		
rp14-speaker-1038	rp14	Renata Avila	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/renata_avila.jpg	Web Foundation	Campaign Lead, Web We Want	
rp14-speaker-1040	rp14	Sascha Pallenberg	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/269463_10150301091162845_6522415_n.jpg		Techblogger	
rp14-speaker-1042	rp14	Matt Jukes	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/screenshot_29_11_2013_21_54.png	Office for National Statistics 	Head of Digital Transformation	
